DOI,Title,ISSN
10.1234/altmetric30,Practical Concrete Computer,3307-4855
10.1234/altmetric302,Sleek Plastic Car,4368-3678
10.1234/altmetric303,Gorgeous Wooden Shoes,10615642
10.1234/altmetric304,Practical Granite Chair,3908-4681
10.1234/altmetric307,Practical Rubber Pants,4157-2271
10.1234/altmetric308,Ergonomic Rubber Gloves,2486-8886
10.1234/altmetric308,Incredible Plastic Car,2366-1863
10.1234/altmetric309,Ergonomic Wooden Shirt,1005-2565
10.1234/altmetric31,Ergonomic Wooden Car,6705-1027
10.1234/altmetric31,Rustic Rubber Pants,1442-9686
10.1234/altmetric312,Small Rubber Computer,9512-2584
10.1234/altmetric314,Fantastic Wooden Chair,3684-8267
10.1234/altmetric315,Gorgeous Rubber Chair,7178-0841
10.1234/altmetric315,Incredible Wooden Car,2822-9396
10.1234/altmetric315,Intelligent Cotton Pants,8211-4592
10.1234/altmetric316,Awesome Plastic Hat,42386865
10.1234/altmetric317,Gorgeous Steel Hat,6337-6036
10.1234/altmetric317,Gorgeous Steel Table,5460-5260
10.1234/altmetric319,Awesome Cotton Pants,7469-8584
10.1234/altmetric321,Practical Concrete Gloves,5166-2372
10.1234/altmetric323,Practical Wooden Table,6749-2713
10.1234/altmetric327,Awesome Cotton Computer,2065-9562
10.1234/altmetric331,Ergonomic Steel Shoes,2778-7457
10.1234/altmetric331,Practical Rubber Table,3165-6713
10.1234/altmetric332,Gorgeous Rubber Car,2738-9740
10.1234/altmetric333,Gorgeous Granite Chair,6183-1943
10.1234/altmetric334,Practical Concrete Gloves,1855-3425
10.1234/altmetric334,Rustic Plastic Pants,6725-6064
10.1234/altmetric338,Gorgeous Wooden Shoes,1147-5723
10.1234/altmetric338,Incredible Rubber Table,6244-0687
10.1234/altmetric340,Fantastic Cotton Chair,1817-4888
10.1234/altmetric340,Sleek Rubber Computer,7566-2217
10.1234/altmetric341,Practical Granite Shoes,1250-6310
10.1234/altmetric343,Gorgeous Rubber Gloves,4325-4426
10.1234/altmetric343,Practical Cotton Pants,7271-7294
10.1234/altmetric343,Sleek Plastic Gloves,40682837
10.1234/altmetric347,Incredible Granite Pants,7126-8933
10.1234/altmetric348,Gorgeous Granite Pants,0215-7474
10.1234/altmetric349,Awesome Plastic Shirt,2885-6503
10.1234/altmetric35,Awesome Plastic Shirt,4589-8693
10.1234/altmetric351,Awesome Plastic Chair,1301-2039
10.1234/altmetric353,Fantastic Rubber Computer,8249-5787
10.1234/altmetric354,Incredible Steel Chair,48412355
10.1234/altmetric357,Gorgeous Granite Car,4746-8743
10.1234/altmetric360,Gorgeous Cotton Shirt,1638-1452
10.1234/altmetric362,Ergonomic Steel Shoes,1869-0523
10.1234/altmetric362,Rustic Granite Shirt,5617-7741
10.1234/altmetric363,Intelligent Plastic Table,1408-7633
10.1234/altmetric363,Rustic Rubber Computer,5444-9542
10.1234/altmetric366,Awesome Cotton Shirt,6772-8260
10.1234/altmetric366,Gorgeous Plastic Shirt,5982-1413
10.1234/altmetric367,Ergonomic Cotton Pants,2401-4478
10.1234/altmetric368,Sleek Rubber Gloves,8611-3315
10.1234/altmetric369,Intelligent Concrete Shirt,3767-5256
10.1234/altmetric371,Fantastic Plastic Shirt,8337-9477
10.1234/altmetric372,Rustic Rubber Shoes,56155801
10.1234/altmetric373,Ergonomic Rubber Table,2641-8758
10.1234/altmetric375,Incredible Wooden Pants,5982-1413
10.1234/altmetric378,Intelligent Steel Shoes,7818-6587
10.1234/altmetric38,Sleek Cotton Pants,1370-8176
10.1234/altmetric381,Gorgeous Steel Shirt,8735-4287
10.1234/altmetric382,Ergonomic Cotton Table,4951-7572
10.1234/altmetric383,Incredible Wooden Hat,5688-6579
10.1234/altmetric384,Ergonomic Steel Hat,76317807
10.1234/altmetric384,Practical Cotton Car,6011-4094
10.1234/altmetric385,Rustic Rubber Pants,7819-5603
10.1234/altmetric392,Intelligent Concrete Car,7480-8864
10.1234/altmetric395,Fantastic Plastic Shirt,6328-7573
10.1234/altmetric400,Small Cotton Shoes,5615-5801
10.1234/altmetric402,Incredible Granite Shirt,9392-0074
10.1234/altmetric403,Awesome Granite Hat,8399-2341
10.1234/altmetric404,Sleek Plastic Table,1610-0173
10.1234/altmetric407,Intelligent Cotton Car,5111-4288
10.1234/altmetric409,Ergonomic Steel Table,27797014
10.1234/altmetric409,Intelligent Granite Shirt,3117-2462
10.1234/altmetric412,Awesome Cotton Chair,3355-0845
10.1234/altmetric413,Fantastic Concrete Car,3177-6553
10.1234/altmetric415,Ergonomic Concrete Shoes,1155-5622
10.1234/altmetric420,Practical Granite Pants,8757-5584
10.1234/altmetric422,Ergonomic Cotton Chair,0777-6439
10.1234/altmetric424,Fantastic Steel Shirt,15277797
10.1234/altmetric429,Practical Granite Hat,8631-6357
10.1234/altmetric431,Practical Rubber Shoes,1347-9721
10.1234/altmetric432,Fantastic Steel Car,5039-2276
10.1234/altmetric432,Intelligent Granite Shoes,8757-6777
10.1234/altmetric439,Awesome Plastic Hat,3614-5445
10.1234/altmetric439,Ergonomic Wooden Gloves,2173-5596
10.1234/altmetric439,Practical Plastic Shoes,5372-6425
10.1234/altmetric440,Ergonomic Cotton Chair,1531-7130
10.1234/altmetric441,Practical Wooden Chair,8778-2611
10.1234/altmetric443,Awesome Plastic Gloves,0736-8516
10.1234/altmetric444,Practical Concrete Shoes,8229-6263
10.1234/altmetric445,Incredible Concrete Computer,9024-1117
10.1234/altmetric446,Sleek Granite Chair,6882-3891
10.1234/altmetric447,Fantastic Granite Shoes,4833-6487
10.1234/altmetric449,Ergonomic Cotton Chair,2465-4952
10.1234/altmetric450,Gorgeous Plastic Shoes,8474-5348
10.1234/altmetric451,Ergonomic Wooden Car,38417561
10.1234/altmetric451,Rustic Concrete Shoes,4361-7445
10.1234/altmetric452,Ergonomic Steel Shirt,7463-5039
10.1234/altmetric453,Sleek Wooden Hat,8200-3142
10.1234/altmetric455,Awesome Cotton Shirt,3887-4607
10.1234/altmetric456,Sleek Rubber Shirt,0088-5212
10.1234/altmetric458,Fantastic Plastic Hat,8465-6865
10.1234/altmetric461,Awesome Cotton Shoes,7910-7871
10.1234/altmetric461,Intelligent Plastic Hat,1240-1326
10.1234/altmetric461,Intelligent Steel Car,3423-0440
10.1234/altmetric466,Intelligent Granite Shirt,3474-9268
10.1234/altmetric467,Gorgeous Plastic Car,1831-5643
10.1234/altmetric467,Incredible Granite Table,47546018
10.1234/altmetric467,Incredible Rubber Pants,8611-3315
10.1234/altmetric468,Intelligent Wooden Chair,7499-5579
10.1234/altmetric470,Intelligent Plastic Car,21814322
10.1234/altmetric470,Rustic Concrete Computer,1238-8632
10.1234/altmetric474,Incredible Concrete Shirt,1610-5714
10.1234/altmetric481,Awesome Wooden Computer,3373-8427
10.1234/altmetric482,Practical Plastic Shoes,5711-3394
10.1234/altmetric484,Rustic Wooden Computer,3419-6511
10.1234/altmetric485,Intelligent Cotton Shirt,3413-2625
10.1234/altmetric487,Ergonomic Wooden Shoes,0428-1971
10.1234/altmetric489,Fantastic Concrete Pants,4372-2804
10.1234/altmetric489,Gorgeous Concrete Table,7926-5617
10.1234/altmetric491,Incredible Wooden Hat,8378-6466
10.1234/altmetric492,Awesome Wooden Car,6024-7912
10.1234/altmetric493,Incredible Plastic Chair,2247-2396
10.1234/altmetric498,Rustic Granite Car,43646227
10.1234/altmetric499,Fantastic Concrete Car,6882-3891
10.1234/altmetric50,Small Steel Pants,5827-3187
10.1234/altmetric500,Awesome Granite Gloves,9670-3728
10.1234/altmetric501,Awesome Plastic Table,7535-6816
10.1234/altmetric503,Incredible Cotton Computer,1260-6474
10.1234/altmetric504,Gorgeous Plastic Chair,5560-6236
10.1234/altmetric505,Practical Plastic Chair,4549-6665
10.1234/altmetric508,Ergonomic Plastic Shirt,8743-5081
10.1234/altmetric510,Gorgeous Cotton Pants,4141-4049
10.1234/altmetric511,Small Plastic Hat,7687-8576
10.1234/altmetric514,Intelligent Wooden Car,1285-6632
10.1234/altmetric516,Incredible Cotton Computer,3022-9225
10.1234/altmetric516,Practical Steel Gloves,5055-1763
10.1234/altmetric518,Sleek Plastic Shirt,8792-4401
10.1234/altmetric520,Ergonomic Rubber Computer,1761-0438
10.1234/altmetric521,Rustic Cotton Chair,8662-6327
10.1234/altmetric522,Small Plastic Car,4812-3148
10.1234/altmetric523,Gorgeous Granite Shoes,86626327
10.1234/altmetric523,Gorgeous Granite Table,5854-6564
10.1234/altmetric524,Small Granite Gloves,5444-9542
10.1234/altmetric525,Fantastic Rubber Shirt,7469-8584
10.1234/altmetric525,Sleek Plastic Gloves,2565-9228
10.1234/altmetric526,Gorgeous Wooden Car,4470-3510
10.1234/altmetric526,Practical Plastic Gloves,6245-6396
10.1234/altmetric529,Gorgeous Rubber Shoes,0791-8389
10.1234/altmetric531,Small Rubber Table,5617-4148
10.1234/altmetric533,Ergonomic Steel Car,5548-6429
10.1234/altmetric534,Small Wooden Computer,6754-6563
10.1234/altmetric535,Rustic Cotton Pants,9690-7628
10.1234/altmetric54,Practical Steel Chair,4342-2271
10.1234/altmetric541,Sleek Plastic Hat,5125-9885
10.1234/altmetric543,Incredible Rubber Chair,3364-8578
10.1234/altmetric544,Fantastic Steel Pants,4554-4925
10.1234/altmetric544,Rustic Plastic Pants,6806-5882
10.1234/altmetric545,Rustic Wooden Chair,2932-3456
10.1234/altmetric547,Intelligent Rubber Pants,5536-2573
10.1234/altmetric547,Sleek Granite Shoes,9808-0652
10.1234/altmetric550,Intelligent Granite Car,8707-7933
10.1234/altmetric553,Ergonomic Cotton Hat,1753-3345
10.1234/altmetric555,Incredible Rubber Hat,3384-1343
10.1234/altmetric557,Awesome Cotton Computer,8792-4401
10.1234/altmetric557,Sleek Concrete Shoes,03212877
10.1234/altmetric558,Ergonomic Wooden Hat,6625-6746
10.1234/altmetric561,Ergonomic Granite Pants,1368-9499
10.1234/altmetric563,Rustic Concrete Computer,7388-8824
10.1234/altmetric568,Incredible Steel Chair,87259162
10.1234/altmetric57,Awesome Rubber Shirt,6705-1027
10.1234/altmetric570,Awesome Granite Shoes,9194-0221
10.1234/altmetric570,Ergonomic Concrete Shirt,8315-7589
10.1234/altmetric571,Ergonomic Granite Computer,4814-1731
10.1234/altmetric571,Rustic Steel Gloves,7107-2132
10.1234/altmetric572,Practical Plastic Shoes,3248-7742
10.1234/altmetric572,Rustic Rubber Gloves,0495-4738
10.1234/altmetric573,Gorgeous Wooden Chair,1697-5647
10.1234/altmetric574,Rustic Rubber Hat,44703510
10.1234/altmetric577,Rustic Plastic Table,4843-8552
10.1234/altmetric578,Rustic Cotton Hat,0529-5816
10.1234/altmetric579,Gorgeous Wooden Table,8351-3303
10.1234/altmetric581,Awesome Concrete Gloves,17035106
10.1234/altmetric582,Rustic Wooden Car,07824538
10.1234/altmetric583,Awesome Cotton Chair,8232-7575
10.1234/altmetric585,Ergonomic Cotton Chair,8757-5584
10.1234/altmetric585,Fantastic Rubber Computer,3354-9101
10.1234/altmetric585,Gorgeous Cotton Chair,8924-6552
10.1234/altmetric59,Sleek Granite Shirt,1147-5723
10.1234/altmetric59,Small Cotton Hat,7186-1356
10.1234/altmetric591,Awesome Cotton Car,7242-9492
10.1234/altmetric591,Gorgeous Wooden Table,5915-4813
10.1234/altmetric591,Rustic Wooden Hat,6324-1490
10.1234/altmetric595,Rustic Steel Table,8279-4245
10.1234/altmetric596,Ergonomic Steel Car,2425-3625
10.1234/altmetric597,Rustic Granite Shirt,3151-1811
10.1234/altmetric600,Ergonomic Granite Table,7625-3711
10.1234/altmetric600,Intelligent Granite Pants,3246-6647
10.1234/altmetric601,Intelligent Concrete Pants,2246-3375
10.1234/altmetric602,Awesome Cotton Shoes,47430693
10.1234/altmetric602,Gorgeous Steel Shirt,1441-0398
10.1234/altmetric603,Sleek Plastic Pants,4757-8261
10.1234/altmetric604,Incredible Wooden Chair,4361-4534
10.1234/altmetric61,Gorgeous Plastic Chair,7152-1502
10.1234/altmetric61,Intelligent Plastic Hat,5633-4102
10.1234/altmetric611,Incredible Granite Car,8729-6649
10.1234/altmetric613,Incredible Cotton Shirt,31549128
10.1234/altmetric613,Practical Concrete Chair,9115-4570
10.1234/altmetric617,Ergonomic Granite Shirt,4877-4668
10.1234/altmetric62,Gorgeous Wooden Hat,5617-4148
10.1234/altmetric621,Sleek Plastic Chair,0791-8389
10.1234/altmetric622,Sleek Cotton Computer,2270-8081
10.1234/altmetric622,Sleek Plastic Shirt,6314-0626
10.1234/altmetric623,Intelligent Concrete Car,1831-5643
10.1234/altmetric626,Awesome Cotton Chair,4871-1850
10.1234/altmetric626,Incredible Granite Shirt,6301-3825
10.1234/altmetric626,Practical Cotton Pants,0711-5119
10.1234/altmetric627,Rustic Granite Car,5929-4022
10.1234/altmetric63,Awesome Plastic Table,5455-8165
10.1234/altmetric630,Fantastic Wooden Hat,6342-5172
10.1234/altmetric630,Gorgeous Steel Shoes,5366-9821
10.1234/altmetric631,Practical Rubber Shirt,2822-9396
10.1234/altmetric634,Practical Rubber Table,8274-5775
10.1234/altmetric636,Fantastic Concrete Gloves,16225733
10.1234/altmetric636,Incredible Steel Computer,6013-5457
10.1234/altmetric636,Practical Plastic Chair,1368-9499
10.1234/altmetric636,Rustic Wooden Gloves,9446-2746
10.1234/altmetric637,Intelligent Steel Shoes,4673-5784
10.1234/altmetric639,Intelligent Steel Computer,4133-5336
10.1234/altmetric642,Awesome Granite Hat,7515-3732
10.1234/altmetric645,Practical Rubber Gloves,7697-6672
10.1234/altmetric65,Small Granite Pants,4732-1082
10.1234/altmetric650,Practical Cotton Pants,7631-7807
10.1234/altmetric651,Fantastic Plastic Shirt,2920-2728
10.1234/altmetric652,Rustic Steel Car,8279-4245
10.1234/altmetric654,Ergonomic Steel Table,7136-5517
10.1234/altmetric656,Practical Concrete Shoes,4778-8294
10.1234/altmetric657,Awesome Plastic Car,4113-7822
10.1234/altmetric658,Ergonomic Wooden Computer,0809-3257
10.1234/altmetric658,Sleek Concrete Shirt,8337-9477
10.1234/altmetric66,Fantastic Plastic Pants,4072-1425
10.1234/altmetric661,Fantastic Rubber Chair,3324-7837
10.1234/altmetric661,Incredible Rubber Shirt,5957-2817
10.1234/altmetric661,Incredible Steel Chair,5042-6766
10.1234/altmetric661,Small Plastic Pants,4939-6274
10.1234/altmetric666,Fantastic Steel Shirt,6704-0825
10.1234/altmetric669,Awesome Granite Table,0814-3861
10.1234/altmetric677,Gorgeous Cotton Table,5821-4745
10.1234/altmetric677,Small Concrete Car,1712-8169
10.1234/altmetric68,Awesome Steel Hat,5248-3976
10.1234/altmetric681,Incredible Plastic Hat,4866-8484
10.1234/altmetric684,Ergonomic Cotton Car,6974-5422
10.1234/altmetric684,Gorgeous Rubber Shoes,2886-2562
10.1234/altmetric684,Incredible Rubber Computer,2704-1028
10.1234/altmetric685,Small Wooden Pants,5693-5386
10.1234/altmetric689,Awesome Granite Car,24452848
10.1234/altmetric690,Practical Cotton Hat,8757-5584
10.1234/altmetric692,Gorgeous Rubber Table,7013-1708
10.1234/altmetric696,Awesome Plastic Chair,2588-2068
10.1234/altmetric696,Rustic Rubber Car,0222-9942
10.1234/altmetric70,Small Granite Shoes,9858-3024
10.1234/altmetric701,Awesome Concrete Chair,7745-0694
10.1234/altmetric703,Ergonomic Steel Shirt,1827-8841
10.1234/altmetric705,Small Concrete Chair,4746-8743
10.1234/altmetric705,Small Wooden Computer,2129-2328
10.1234/altmetric713,Rustic Granite Pants,4469-7507
10.1234/altmetric719,Rustic Rubber Car,7314-8068
10.1234/altmetric720,Incredible Granite Chair,9670-3728
10.1234/altmetric722,Practical Steel Hat,3112-7657
10.1234/altmetric724,Gorgeous Cotton Car,8229-6263
10.1234/altmetric725,Intelligent Concrete Hat,9241-3535
10.1234/altmetric726,Intelligent Rubber Chair,0768-9664
10.1234/altmetric726,Rustic Concrete Hat,7651-7893
10.1234/altmetric727,Awesome Wooden Computer,2855-1607
10.1234/altmetric734,Intelligent Rubber Computer,2771-4463
10.1234/altmetric736,Gorgeous Rubber Gloves,52450933
10.1234/altmetric74,Fantastic Concrete Shirt,9032-5784
10.1234/altmetric740,Awesome Granite Pants,0258-2413
10.1234/altmetric744,Ergonomic Concrete Chair,2445-2848
10.1234/altmetric747,Ergonomic Steel Car,5026-2897
10.1234/altmetric747,Intelligent Wooden Shoes,7582-9940
10.1234/altmetric748,Practical Plastic Computer,9131-7654
10.1234/altmetric748,Small Rubber Hat,3173-3488
10.1234/altmetric75,Awesome Concrete Car,1238-8632
10.1234/altmetric753,Intelligent Cotton Shirt,0176-3381
10.1234/altmetric754,Rustic Rubber Shirt,6745-4553
10.1234/altmetric757,Intelligent Wooden Car,8251-3489
10.1234/altmetric757,Rustic Rubber Gloves,1085-4412
10.1234/altmetric758,Intelligent Cotton Car,28384244
10.1234/altmetric758,Small Cotton Table,9729-0556
10.1234/altmetric76,Fantastic Steel Computer,8482-7296
10.1234/altmetric761,Incredible Concrete Gloves,8851-5159
10.1234/altmetric761,Incredible Rubber Table,6457-7841
10.1234/altmetric765,Small Plastic Gloves,0165-5467
10.1234/altmetric770,Awesome Cotton Pants,9536-1604
10.1234/altmetric770,Practical Steel Hat,2870-7357
10.1234/altmetric771,Incredible Wooden Shoes,8399-2341
10.1234/altmetric772,Ergonomic Plastic Chair,4562-1383
10.1234/altmetric780,Intelligent Granite Pants,3830-2705
10.1234/altmetric781,Incredible Steel Car,3830-2705
10.1234/altmetric785,Rustic Cotton Shoes,8128-3937
10.1234/altmetric786,Ergonomic Cotton Shirt,8685-3579
10.1234/altmetric788,Fantastic Concrete Hat,8950-9037
10.1234/altmetric790,Small Concrete Shoes,6668-3047
10.1234/altmetric794,Practical Granite Pants,7145-0577
10.1234/altmetric795,Intelligent Steel Table,4673-5784
10.1234/altmetric805,Incredible Concrete Shirt,8738-0753
10.1234/altmetric806,Rustic Concrete Computer,7536-7512
10.1234/altmetric807,Gorgeous Rubber Gloves,34377421
10.1234/altmetric807,Rustic Wooden Car,1066-0564
10.1234/altmetric809,Gorgeous Concrete Chair,6535-2431
10.1234/altmetric81,Intelligent Concrete Hat,5676-4509
10.1234/altmetric812,Practical Rubber Computer,0814-3861
10.1234/altmetric813,Intelligent Granite Pants,1527-7797
10.1234/altmetric814,Gorgeous Steel Car,8611-3315
10.1234/altmetric815,Gorgeous Concrete Gloves,6372-2723
10.1234/altmetric816,Ergonomic Granite Hat,8172-2536
10.1234/altmetric816,Gorgeous Plastic Computer,2778-7457
10.1234/altmetric817,Gorgeous Cotton Hat,4588-6787
10.1234/altmetric820,Fantastic Cotton Chair,31733488
10.1234/altmetric820,Fantastic Cotton Hat,15111103
10.1234/altmetric821,Awesome Granite Computer,2813-1816
10.1234/altmetric821,Practical Granite Hat,3307-4855
10.1234/altmetric821,Sleek Cotton Shoes,8534-7621
10.1234/altmetric822,Fantastic Granite Computer,0736-8516
10.1234/altmetric822,Fantastic Wooden Chair,8666-5162
10.1234/altmetric823,Awesome Cotton Shirt,2366-1863
10.1234/altmetric824,Fantastic Steel Shoes,7388-8824
10.1234/altmetric825,Ergonomic Wooden Gloves,8399-2341
10.1234/altmetric825,Incredible Steel Pants,8879-3737
10.1234/altmetric825,Rustic Rubber Shirt,5125-9885
10.1234/altmetric827,Practical Wooden Table,5289-3298
10.1234/altmetric827,Rustic Steel Chair,7231-5181
10.1234/altmetric829,Small Wooden Car,91940221
10.1234/altmetric83,Incredible Concrete Shirt,1753-3345
10.1234/altmetric83,Practical Concrete Car,4131-3754
10.1234/altmetric831,Intelligent Cotton Gloves,32648846
10.1234/altmetric832,Practical Concrete Shoes,1860-2552
10.1234/altmetric833,Small Concrete Shirt,7117-3884
10.1234/altmetric835,Fantastic Cotton Car,3087-2113
10.1234/altmetric835,Small Cotton Pants,3324-7837
10.1234/altmetric836,Gorgeous Steel Shoes,6463-1886
10.1234/altmetric836,Sleek Plastic Car,5455-8165
10.1234/altmetric837,Gorgeous Steel Chair,5121-7813
10.1234/altmetric843,Incredible Rubber Car,8482-7296
10.1234/altmetric844,Fantastic Granite Computer,3419-6511
10.1234/altmetric846,Fantastic Plastic Hat,61878741
10.1234/altmetric847,Awesome Steel Shirt,6264-3507
10.1234/altmetric849,Sleek Rubber Car,3155-4114
10.1234/altmetric85,Gorgeous Concrete Chair,6418-1601
10.1234/altmetric85,Small Plastic Hat,1260-6474
10.1234/altmetric852,Incredible Rubber Car,48356816
10.1234/altmetric853,Sleek Concrete Shirt,8871-5976
10.1234/altmetric854,Practical Rubber Car,2771-4463
10.1234/altmetric854,Rustic Granite Car,6532-9831
10.1234/altmetric855,Gorgeous Rubber Shoes,5688-6579
10.1234/altmetric856,Gorgeous Cotton Computer,7042-3611
